s,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",24-02-2026 15:00,30.075911,78.2859547,OZONE,80,108,92
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",24-02-2026 15:00,23.697936,86.944395,SO2,23,23,23
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",24-02-2026 15:00,22.554954,88.292568,PM2.5,25,114,63
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",24-02-2026 15:00,22.6025571,88.3105664,PM2.5,4,93,54
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",24-02-2026 15:00,22.6025571,88.3105664,CO,24,76,44
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",24-02-2026 15:00,22.611968,88.347422,CO,51,82,58
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",24-02-2026 15:00,22.5687319,88.2797276,NH3,4,8,6
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",24-02-2026 15:00,22.5687319,88.2797276,SO2,1,12,7
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",24-02-2026 15:00,25.262326,82.995408,NH3,1,4,3
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",24-02-2026 15:00,27.571409,77.655757,CO,20,69,34
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",24-02-2026 15:00,27.571409,77.655757,OZONE,15,16,15
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",24-02-2026 15:00,30.269444,78.044167,CO,7,8,8
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",24-02-2026 15:00,23.616515,87.119133,NH3,6,16,7
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",24-02-2026 15:00,23.567923,87.306843,PM10,36,108,64
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",24-02-2026 15:00,23.567923,87.306843,NO2,12,65,27
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",24-02-2026 15:00,22.5367507,88.3638022,OZONE,13,35,18
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",24-02-2026 15:00,22.58157048,88.41002457,PM10,30,156,99
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",24-02-2026 15:00,22.55664,88.342674,NH3,10,11,10
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",24-02-2026 15:00,23.567923,87.306843,SO2,5,102,12
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",24-02-2026 15:00,23.567923,87.306843,CO,26,90,33
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",24-02-2026 15:00,23.567923,87.306843,OZONE,16,63,42
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB",24-02-2026 15:00,23.549395,87.300496,PM2.5,28,71,52
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB",24-02-2026 15:00,23.549395,87.300496,PM10,57,141,95
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB",24-02-2026 15:00,23.549395,87.300496,SO2,27,28,28
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",24-02-2026 15:00,22.629801,88.352017,PM2.5,48,178,97
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",24-02-2026 15:00,22.629801,88.352017,NO2,36,84,56
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",24-02-2026 15:00,22.49929,88.36917,CO,22,50,27
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",24-02-2026 15:00,22.627847,88.380669,PM10,55,161,111
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",24-02-2026 15:00,22.5448082,88.3403691,NH3,8,8,8
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",24-02-2026 15:00,26.6879226,88.4152495,PM10,116,416,183
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",24-02-2026 15:00,26.6879226,88.4152495,SO2,15,58,24
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",24-02-2026 15:00,26.6879226,88.4152495,OZONE,11,89,61
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",24-02-2026 15:00,13.20488,79.097889,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",24-02-2026 15:00,13.20488,79.097889,PM10,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",24-02-2026 15:00,13.20488,79.097889,CO,19,26,23
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",24-02-2026 15:00,14.465052,78.824187,PM10,59,96,74
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-02-2026 15:00,16.9872867,81.7363176,PM10,30,87,57
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",24-02-2026 15:00,13.67,79.35,PM2.5,13,54,31
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",24-02-2026 15:00,13.67,79.35,PM10,14,42,33
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",24-02-2026 15:00,13.67,79.35,OZONE,8,31,20
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",24-02-2026 15:00,13.615387,79.40923,NO2,27,31,28
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",24-02-2026 15:00,13.615387,79.40923,CO,18,26,22
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",24-02-2026 15:00,13.615387,79.40923,OZONE,27,30,28
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",24-02-2026 15:00,27.103358,93.679645,CO,8,56,20
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",24-02-2026 15:00,26.071318,91.87488,NH3,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",24-02-2026 15:00,26.10887,91.589544,OZONE,13,15,15
